    achtzehn;    dieciocho
    November;    noviembre
    Alles Gute zum Geburtstag;    feliz cumpleaños
    Kerze;    vela
    feiert, jubelten, Veranstaltet;    celebrar
    siebzehn;    diecisiete
    Mai;    mayo
    Juni;    junio
    fünfzehn;    quince
    Haben, haben, Wir haben;    tenemos
    April;    abril
    vierzehn;    catorce
    immer noch;    todavía
    wie alt;    cuántos años
    dreizehn;    trece
    Jahr;    año
    sechzehn;    dieciséis
    Februar;    febrero
    Geburtstag;    cumpleaños
    zwölf;    doce
    gehen, fahren, fährt;    van
    dann;    luego
    Peso;    peso
    seltsam;    extraño
    Flugzeug;    avión
    Schiff;    barco
    besonders;    especialmente
    neun;    nueve
    gehen;    vamos
    selbe;    mismo
    Donnerstag;    jueves
    schrecklich;    horrible
    Motorrad;    moto
    Mittwoch;    miércoles
    wenn;    cuando
    Du begleitest, gehst, Wirst;    vas
    Fahrrad;    bicicleta
    Arbeit;    trabajo
    Dienstag;    martes
    gehe, laufe, gehen;    voy
    Fahrkarte;    boleto
    Tag;    día
    kaputt;    roto
    Bahnhof;    estación
    freundlich;    amable
    Hals;    garganta
    Knie;    rodilla
    krank;    enfermo
    Medikament;    medicina
    diesen, Dieser, Dieses;    esta
    Körper;    cuerpo
    Hals;    cuello
    Krankenpfleger;    enfermero
    Rücken;    espalda
    Schulter;    hombro
    wieder;    otra vez
    links;    izquierdo
    Bein;    pierna
    Magen;    estómago
    rechts;    derecho
    Arm;    brazo
    Arzt;    médico
    schmerzen;    doler
    trotzdem;    sin embargo
    Volleyball;    vóleibol
    segelt, Segeln, Befahren;    navegar
    spielen;    jugar a
    August;    agosto
    Ferien;    vacaciones
    Tourist;    turista
    vorbeigehen;    pasar
    gehen;    ir
    lieben;    encantar
    Leben;    vida
    andere;    diferente
    Land;    campo
    zum Glück;    por suerte
    zu;    demasiado
    Serie;    serie
    Musical;    musical
    sehen;    ver
    zu Hause;    en casa
    Paella;    paella
    zu Abend essen;    cenar
    mehr oder weniger;    más o menos
    interessieren;    les interesan
    Event;    evento
    nächste;    próximo
    mögen, Mögen;    les gustan
    uns gefallen;    nos gustan
    Musiker;    músico
    Schlagzeug;    batería
    Interessiert, interessiert;    les interesa
    entspannend;    relajante
    Geige;    violín
    Sänger;    cantante
    mögen;    les gusta
    Klavier;    piano
    spielen;    tocar
    Instrument;    instrumento
    Popmusik;    pop
    interessiert;    nos interesa
    gefällt;    nos gusta
    Gitarre;    guitarra
    Lied;    canción
    Außerdem;    además
    interessieren;    le interesan
    ihm gefallen, Gefallen;    le gustan
    Künstler;    artista
    Ausstellung;    exposición
interessieren;me interesan
ich mag, mir gefallen, Ich mag;me gustan
interessieren dich, interessieren;te interesan
Videospiel;videojuego
Sache;cosa
Magst du;te gustan
mag;le gusta
Interessiert, interessiert;le interesa
was das betrifft;de hecho
Golf;golf
Karate;karate
interessiert, Interessiert;te interesa
du magst, Du magst;te gusta
Fotografie;fotografía
Poesie;poesía
klassisch;clásico
interessiert, interessieren;me interesa
Sport;deporte
Hobby;pasatiempo
auch nicht;tampoco
oft;muchas veces
sauber;limpio
zurückkommen;regresar
acht;ocho
natürlich;por supuesto
sich duschen;ducharse
mexikaner;mexicano
bis;hasta
ich weiß es nicht;no sé
bleiben;quedarse
kämmen, Kämmst;peinarse
ungeduldig;impaciente
Schauspielerin;actriz
Auto;coche
Schauspieler;actor
unhöflich;maleducado
nach;después de
Sonntag;domingo
Zahn;diente
sich die Zähne putzen;cepillarse
Monat;mes
vor;antes de
die ganze Zeit;todo el tiempo
Hand;mano
Gesicht;cara
sich waschen;lavarse
normalerweise;normalmente
elf;once
baden;bañarse
sich entspannen;relajarse
Fernseher;televisión
um wie viel Uhr;a qué hora
dreißig;y media
sieben;siete
aufstehen;levantarse
jede;cada
sich, nennen;llamarse
Blog;blog
Schlange;serpiente
Wüste;desierto
gefährlich;peligroso
Wald;bosque
Meer;mar
Kuh;vaca
Fisch;pez
Haustieren;mascota
briefumschlag, auf, zu;sobre
Zeitschriften;revista
lesen;leer
Insekt;insecto
Pinguin;pingüino
Mücke;mosquito
Pflanze;planta
Pferd;caballo
Fluß;río
Vogel;pájaro
kennen;conocer
Tier;animal
Sport machen;hacer ejercicio
frühstücken;desayunar
Butter;mantequilla
Schokolade;chocolate
Süßigkeiten;dulces
verkaufen;vender
roh;crudo
Wein;vino
Fluß;río
Vogel;pájaro
kennen;conocer
Tier;animal
Sport machen;hacer ejercicio
frühstücken;desayunar
Butter;mantequilla
Schokolade;chocolate
Süßigkeiten;dulces
verkaufen;vender
roh;crudo
Wein;vino
wenig;poco
weniger;menos
Softdrink;refresco
laufen;correr
