    sich hinlegen/schlafen gehen;    acostarse (ue)
    baden;    bañarse
    heiraten;    casarse
    aufwachen;    despertarse (ie)
    sich duschen;    ducharse
    sich waschen;    lavarse
    aufstehen;    levantarse
    heißen/sich nennen;    llamarse
    sich kämmen;    peinarse
    sich anziehen/sich setzen;    ponerse
    bleiben;    quedarse
    sich (hin-)setzen;    sentarse (ie)
    sich anziehen;    vestirse (i)
    sich langweilen;    aburrirse
    sich erinnern;    acordarse (ue)
    sich freuen;    alegrarse
    sich bereuen;    arrepentirse (ie)
    sich trauen;    atreverse
    sich umziehen;    cambiarse
    sich amüsieren;    divertirse (ie)
    weggehen/aufbrechen;    irse
    sich anschauen;    mirarse
